appid,name,developer,publisher
554690,Rotation Phonology: Break,ButterChain,ButterChain
449770,Legend of Moros,Cannibal Interactive,Cannibal Interactive
582370,Snowflake's Chance,CarlMorganArt,CarlMorganArt
366570,CastleAbra,CastleAbra Studios,CastleAbra Studios
503650,Fenimore Fillmore: The Westerner,Casual Brothers,Casual Brothers
416600,Full Metal Furies,Cellar Door Games,Cellar Door Games
583200,Vision Therapy VR,Cerevrum Inc.,Cerevrum Inc.
546180,Starry Nights : Helix,"CFK Co., Ltd.","CFK Co., Ltd."
583030,Eraser & Builder,"CFK Co., Ltd.","CFK Co., Ltd."
333350,Cults and Daggers,Chaphat,Chaphat
526840,Galaxy Commando,Chen Xianyin,Chen Xianyin
269170,SportsBar VR,"Cherry Pop Games, Perilous Orbit","Cherry Pop Games, Perilous Orbit"
556310,TMM: Entourage,Chocolate Ship Games,Chocolate Ship Games
423440,Choice of Kung Fu,Choice of Games,Choice of Games
428040,Sixth Grade Detective,Choice of Games,Choice of Games
461650,It's Killing Time,Choice of Games,Choice of Games
558410,Cannonfire Concerto,Choice of Games,Choice of Games
323020,Destructamundo,MiniVisions,Choice Provisions
669340,The Royal Cosmonautical Society,Chromosphere Games,Chromosphere Games
538790,Primal Carnage: Onslaught,Pub Games,Circle 5 Studios
567030,Under Leaves,Circus Atos,Circus Atos
647410,Goodbye My King,CivilSavages,CivilSavages
548860,The Torus Syndicate,Codeate,Codeate
578060,Noda,Coding Leap,Coding Leap
413040,Eekeemoo - Splinters of the Dark Shard,Cogg Games Ltd,Cogg Games Ltd
419710,Rogue Singularity,Considerable Content,Considerable Content
585430,Flatspace IIk,Cornutopia Software,Cornutopia Software
617590,Affliction,Corrosive Studios LLC,Corrosive Studios LLC
592550,Seasteader,Cosy Goat,Cosy Goat
682170,Witchkin: Hide-n-Sneak,Coven Games,Coven Games
552540,Lotia,"Crayon Ponyfish, LLC","Crayon Ponyfish, LLC"
678230,Abstract Arena,Credici,Credici
663750,MineDrill,Cristi Militaru,Cristi Militaru
259000,Dead Pixels II,CSR-Studios,CSR-Studios
530860,The Wanderer,Cult Software,Cult Software
569350,RoboCritters,Curious Dimensions Ltd,Curious Dimensions Ltd
570230,Deathlike: Awakening,Cybreath,Cybreath
534920,Relaxing VR Games: Mahjong,CrazyBunch,Daedalic Entertainment
364700,Dawn of the Plow,"Dan FitzGerald, Trichotomy","Dan FitzGerald, Trichotomy"
346930,Deadhold,Dark Quarry Games,Dark Quarry Games
536450,Vzerthos: The Heir of Thunder,DarkDes Labs,DarkDes Labs
579870,Biosupremacy,DarkPolygon Games,DarkPolygon Games
555170,OneManVurgeR,Dazzle Inc.,Dazzle Inc.
434600,Blue Bird,Deadline Soft,Deadline Soft
415010,The Other 99,Burning Arrow,Deck13
489930,Adventures of Bertram Fiddle Episode 2,Rumpus,Deck13
433920,Aveyond 4: Shadow of the Mist,"Amaranth Games, LLC",Degica
460650,Tick Tock Bang Bang,"Dejobaan Games, LLC","Dejobaan Games, LLC"
341960,DP Animation Maker,DesktopPaints,DesktopPaints
272230,Sub Rosa [Alpha 25],Cryptic Sea,Devolver Digital
442780,STRAFE,Pixel Titans,Devolver Digital
601780,VoiceWarrior,DevPossible,DevPossible
528250,Patchwork,DIGIDICED,DIGIDICED
631950,Caelum: Into the Sky,Digital Realms Ltd,Digital Realms Ltd
318300,Phineas and Ferb: New Inventions,PIPE Studio,Disney Interactive
346060,Disney High School Musical 3: Senior Year Dance,Page 44 Studios,Disney Interactive
627410,BlackEye,Dnovel,Dnovel
504700,Blockships,Dr Davient,Dr Davient
675530,M1: A Death in the Desert,Dracula's Cave,Dracula's Cave
581910,Iron Armada,Drakeling Labs,Drakeling Labs
498380,AquaNimble,"DrinkingNails, LLC","DrinkingNails, LLC"
511460,Unaided: 1939,Drix Studios,Drix Studios
618170,MIND CUBES - Inside the Twisted Gravity Puzzle,DRUNKEN APES,DRUNKEN APES
612120,Darwin's bots: Episode 1,Duplicator Studio,Duplicator Studio
613200,Dead Days,Duskroad Games,Duskroad Games
397860,Carnivore Land,dwCrew,dwCrew
496840,XunYouIntè¿…æ¸¸å›½é™…ç½‘æ¸¸åŠ é€Ÿå™¨,è¿…æ¸¸ç§‘æŠ€(300467.SZ),è¿…æ¸¸ç§‘æŠ€(300467.SZ)
480500,Dogfight Elite,Echoboom S.L.,Echoboom S.L.
227580,10000000,EightyEightGames,EightyEightGames
615010,Runic Rampage,Electrocosmos,Electrocosmos
362940,Courier of the Crypts,Emberheart Games,Emberheart Games
658450,Lil' Blue Buddy,Emerald Interactive Games,Emerald Interactive Games
548110,Star-Twine,Eric Billingsley,Eric Billingsley
383010,JamG,ErnÅ‘ KirÃ¡ly,ErnÅ‘ KirÃ¡ly
496940,Second Death,Evan Wagstaff,Evan Wagstaff
513460,Agenda,Exordium Games,Exordium Games
376160,DNO Rasa's Journey,EZDesigner,EZDesigner
562280,/reality,Fancy Fish Games,Fancy Fish Games
683530,FreeFly Burning,FanPlymouth,FanPlymouth
521140,King Machine,FastRam Design,FastRam Design
411720,Quantum Lock,"FAT BOMB STUDIOS, LLC","FAT BOMB STUDIOS, LLC"
434610,Forbidden planet,Faton,Faton
397600,Viral EX,Fierce Kaiju Ltd,Fierce Kaiju Ltd
667520,Flight Unlimited 2K18,Flight Systems,Flight Systems 
333100,Demesne,"Demesnegame, Composer-Motorin Dmitry (Djinotan)","FLOW IT, LLC"
337290,Still Not Dead,Greg Sergeant,Flying Interactive
525690,MMM: Murder Most Misfortunate,Foolish Mortals Games,Foolish Mortals Games
624050,Lazer Cops,Foolish Mortals Games,Foolish Mortals Games
39360,Freeze Tag Fun Pack #1,"Freeze Tag Inc., Joju Games, Linksolutions Ltd., Dekovir Entertainment",Freeze Tag Inc.
563810,Fumiko!,Fumiko Game Studio,Fumiko Game Studio
384920,ABD: A Beautiful Day,"Robert Bonner, Jack Hanley, Ben Rawles, Boris Blosse","Gag A Maggot Entertainment, LLC."
291840,The Feud: Wild West Tactics,Galaxy Pest Control,Galaxy Pest Control
663240,All You Can Eat,Gamechuck,Gamechuck
522080,Gemstone Keeper,Gamepopper,Gamepopper
542410,True Blades,Gamerizon Studio Inc.,Gamerizon Studio Inc.
486490,Witan,Imigea Ltd,gamevial
458540,Lines,Gamious,Gamious
618650,Pixel Gear,Geronimo Interactive,Geronimo Interactive
418260,Gumball Drift,Ghost Machine,Ghost Machine
526130,Sky Sanctuary,Glitchr Studio,Glitchr Studio
501680,Outreach,Pixel Spill,Good Shepherd Entertainment
555510,MachiaVillain,Wild Factor,Good Shepherd Entertainment
642830,Milanoir,Italo Games,Good Shepherd Entertainment
514780,Best in Show Solitaire,Graduate Games,Graduate Games
673050,StarBallMadNess,GreenGasGames,GreenGasGames
496160,Return Zero VR,Ground Control Studios,Ground Control Studios
558020,JETPACK PORTER,"G-STYLE Co,. Ltd.","G-STYLE Co,. Ltd."
624560,Medusa's Labyrinth VR,Guru Games,Guru Games
681170,SUDOKU.,Hannibal Stuff,Hannibal Stuff
375810,The Forgettable Dungeon,Anthony Rotondo,Happy Box Games LLC
646380,Uphill Skiing,Happy Hobgoblin,Happy Hobgoblin
615330,Happy Penguin VR,Bellcat VR,happyjim
550200,World Destroyers,HardHead Games,HardHead Games
489110,Putty Pals,Harmonious Games,Harmonious Games
341760,Flem,Henchman & Goon,Henchman & Goon
572730,Nancy Drew: The Silent Spy,HeR Interactive,HeR Interactive
572740,Nancy Drew: The Secret of Shadow Ranch,HeR Interactive,HeR Interactive
396320,Tank Battle: 1944,HexWar Games,HexWar Games
465750,Tank Battle: North Africa,HexWar Games,HexWar Games
563830,Historium VR - Relive the history of Bruges,Sevenedge Interactive Media,Historium Bruges
500550,"Save the Universe, Please!",Hodeaka Studio,Hodeaka Studio
448870,Cubistry Collection Vol. 1,Hohng L.L.C.,Hohng L.L.C.
460990,The Impossible Travel Agency,Holospark,Holospark
464380,Best of Us,Hosted Games,Hosted Games
517240,Machinations: Fog of War,Hosted Games,Hosted Games
543980,Zombie Exodus: Safe Haven,Hosted Games,Hosted Games
390070,Estetiikka,Jukka Koivisto,Hot Habanero Games
440280,Overpower,Hydrant Games,Hydrant Games
394840,Mars Colony: Frontier,HyperKat Games,HyperKat Games
432980,INVERSUS,Hypersect,Hypersect
506660,The West,I.V.O,I.V.O
628960,Journey to Alien Worlds,Ideographer,Ideographer
544290,Tyto Online,Immersed Games,Immersed Games
543300,Horizon Of History,Immersion,Immersion
647430,Game of Emperors,Imperia Online LTD,Imperia Online LTD
438300,Shepherds of the Abyss,Impulse Games,Impulse Games
578850,64,rebel rabbit,"indienova, GrabTheGames"
436070,Nadia Was Here,Jajaben Games,Indietopia Games 
536920,Groggers!,Indigo Studios,Indigo Studios
393320,Typing Instructor Platinum 21,Individual Software,Individual Software
661560,Audioship,Insanity Interactive,Insanity Interactive
555580,The Legend of Dark Witch 2 ,INSIDE SYSTEM,INSIDE SYSTEM
592120,Glyphs Apprentice,inSPIRE Games,inSPIRE Games
446850,Mindball Play,Interactive Productline Team,Interactive Productline IP AB
503680,The Seeker,VisualTech48,Intercido
624080,Cyberia,Xatrix Entertainment,Interplay Entertainment Corp.
582200,The Physiology of the Eye,Intervoke,Intervoke
322930,aerofly RC 7,IPACS,IPACS
597640,"Buccaneers, Bounty & Boom!",Iron Helmet Games,Iron Helmet Games
597920,Survivalizm - The Animal Simulator,IronBoundManzer,IronBoundManzer
468070,90 Minute Fever,Isokron,Isokron
639280,Lander 8009 VR,Ivanovich Games,Ivanovich Games
228940,Carnage Racing â„¢,,Jagex
595080,Silver Grapple,"Jamie Rollo, Tom Campbell",Jamie Rollo
611640,Mono,JeliLiam,JeliLiam
395170,DISTRAINT,Jesse Makkonen,Jesse Makkonen
582050,HVRGUN,"Jonathan Bartram, Thomas Bartram","Jonathan Bartram, Thomas Bartram"
339610,Freestyle2: Street Basketball,Joycity,Joycity
324360,TOTM,Juniper Games,Juniper GmbH
603720,There's Poop In My Soup - Pooping with Friends,K Bros Games,K Bros Games
619890,Evil Glitch,Agar3s,K Bros Games
657440,Burn It Down,"Tapinator, Max Ignatyev",K Bros Games
396010,The Rise of Chubtan,RadarJam,Kajak Games
397850,Sonder. Episode ONE,KAMAi MEDIA,KAMAi MEDIA
416790,The Metronomicon,Puuba,Kasedo Games
586240,Soul Searching,Kayabros,Kayabros
654910,YANKAI'S PEAK.,Kenny Sun,Kenny Sun
586150,Armored Freedom,Killer Bees Games,Killer Bees Games
501620,CyberLink PowerDirector 15 Ultimate,CyberLink,"Koch Media , CyberLink"
501640,CyberLink PhotoDirector 8 Ultra,CyberLink,"Koch Media , CyberLink"
521650,Genghis Khan / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
521700,NOBUNAGAS AMBITION: Sengoku Gunyuuden / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
521740,NOBUNAGA'S AMBITION: Bushou Fuunroku / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
521760,Taikou Risshiden / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
544990,NOBUNAGA'S AMBITION / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
545000,Aoki Ookami to Shiroki Mejika / ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
628020,Romance of the Three KingdomsVI with Power Up Kit / VI with ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
628030,Romance of the Three KingdomsVII with Power Up Kit / VII with ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
656190,THE HOUCHI PLAY -THE -,KoheiGallery,KoheiGallery
613590,Dungeon Of Zaar,KURB,"KURB, Plug In Digital"
513860,Elena,Catch A Cat,LabOne48
612220,Chaos Edge,LaoniuStudio,LaoniuStudio
320020,Monkey Tales Games,Larian Studios,Larian Studios
519550,SPACE DVRTS,Laser Fuel Games,Laser Fuel Games
519020,Shuttle Siege,Lasmelan,Lasmelan
440800,Trial by Viking,Last Life Games,Last Life Games
685750,The soldier in the mine,Laush Dmitriy Sergeevich,Laush Studio
492160,3D Pool,Z-Software,Libredia
569380,Alicia Griffith  Lakeside Murder,Agrostemma,Libredia
520350,Remembering Pearl Harbor,Deluxe VR,LIFE VR
568370,Castle Battles,Light Arc Studio Ltd,Light Arc Studio Ltd
594680,Shuyan Saga,Lofty Sky Entertainment Inc.,Lofty Sky Entertainment Inc.
451450,Hollywood Hills Mansion,"LOOT Interactive, LLC","LOOT Interactive, LLC"
434140,New Outbreak,"0Bennyman, srslyCASUAL",LootBit
476670,Emberdoom,"Loud King Studios, LLC","Loud King Studios, LLC"
413490,Rothschild: The Sheep Will Wake,Loudpak Studios,Loudpak Studios
6060,STAR WARS Battlefront II,Pandemic Studios,"Lucasfilm, LucasArts, Disney Interactive"
640720,CAD XR,"Lucid Sight, Inc.","Lucid Sight, Inc."
600650,OK Bob,Lumen Labs,Lumen Labs
666810,Luna,Lushboy Studios,Lushboy Studios
503010,Legends of Azulgar,Lusorion Creatives,Lusorion Creatives
418200,MAGIX Photostory 2016 Deluxe,MAGIX Software GmbH,MAGIX Software GmbH
506030,MAGIX PC Check & Tuning 2017,simplitec GmbH,MAGIX Software GmbH
525420,Samplitude Music Studio 2017 Steam Edition,MAGIX Software GmbH,MAGIX Software GmbH
596880,VEGAS DVD Architect Steam Edition,MAGIX Software GmbH,MAGIX Software GmbH
670460,MAGIX Video deluxe 2017 Steam Edition,MAGIX Software GmbH,MAGIX Software GmbH
367220,Egyptian Settlement Gold,magnussoft,magnussoft
516740,Elves vs Goblins Defender,magnussoft,magnussoft
557180,League of Maidens,Maiden Gaming Inc.,Maiden Gaming Inc.
638930,Dal Segno,Circus,MangaGamer
618950,Agatha Knife,Mango Protocol,Mango Protocol
428340,Marmoset Hexels 2,Marmoset LLC,Marmoset LLC
382130,Exile's End,Magnetic Realms,Marvelous
651660,Halcyon 6: Lightspeed Edition,"Massive Damage, Inc.","Massive Damage, Inc."
568780,Multishop Tycoon Deluxe,Maulidan Games,Maulidan Games
522200,Loading Human: Chapter 1,Untold Games,Maximum Games
387130,"Zombie Hunter, Inc.",Maya Gameworks,Maya Gameworks
517020,Virtual Warfighter,MDA Digital,MDA Digital
532820,Iron Fish,"BeefJack, Dean Edwards",Meat Name Games Ltd
563420,Obscura,Michael Hegemann,Michael Hegemann
418170,MicroRC Simulation,Minindustries Game Factory,Minindustries Game Factory
332270,Gunmetal Arcadia,Minor Key Games,Minor Key Games
475960,Bombslinger,Mode4,Mode4
554680,Crazy Saloon VR,Monsieur K,Monsieur K
678100,VR Crane Master,RealityBusters.co,MoreFromIT Sp. z o.o.
664420,Girls and Quiz,morojenoe's empire,morojenoe's empire
582810,Serious Metal Detecting,"Mykyta Markin, Artem Basko","Mykyta Markin, Artem Basko"
47570,Mishap 2: An Intentional Haunting - Collector's Edition,Virtual Prophecy Entertainment,"Namco Networks America, Inc."
348980,INIT.,Narrow Monolith,Narrow Monolith
435000,The Whisperer in Darkness,Nathaniel Nelson,Nathaniel Nelson
378410,Don't Be Patchman,Naturally Intelligent,Naturally Intelligent
554820,VideoPad Video Editor,NCH Software,NCH Software
580310,WavePad Audio Editor,NCH Software,NCH Software
617550,Prism,NCH Software,NCH Software
617570,Switch,NCH Software,NCH Software
617580,PhotoPad,NCH Software,NCH Software
617560,DreamPlan,NCH Software,NCH Software 
616090,,Netease,Netease
447690,Dimensional Intersection,DNV,"Nicalis, Inc."
651970,NEON GALAXY,Nicholas Backus,Nicholas Backus
648810,Vehicle VR,Nick Helweg,Nick Helweg
612150,Conran - The dinky Raccoon,Nifty Productions,Nifty Productions
392330,Take Command - 2nd Manassas,"MadMinute Games, NorbSoftDev","NorbSoftDev, Paradox Interactive"
473900,Oath of Genesisâ„¢,NoteMode Studios,NoteMode Studios
445860,Toy Plane Heroes,Oasis VR,Oasis VR
615390,Encounter of Galaxies,Obi-Wanya,Obi-Wanya
503980,Detective Hank and the Golden Sneeze,Obsessive Science Games,Obsessive Science Games
394490,Buildanauts,TouchTilt Games,Octopus Tree
576020,Final Theosis,ODBear Studios,ODBear Studios
395190,Reiner Knizia's The Confrontation,"Offworld Games, LLC","Offworld Games, LLC"
524640,Asura,Ogre Head Studio,"Ogre Head Studio, Coconut Island Games"
474980,Cat President ~A More Purrfect Union~,"Oh, a Rock! Studios","Oh, a Rock! Studios"
516900,Oniris Basket VR,Oniris Studios,Oniris Studios
590270,Catsby,OOTOTGames,OOTOTGames
477720,Toricky,Atelier Melon-Kissa,OtakuMaker.com
538700,TURGUL: RAPID FIGHTING,dynamicsoulworks,OtakuMaker.com
618670,One Bullet left,OxPrimeStudio,OxPrimeStudio
528010,Eternal Return,Pathless Games,Pathless Games
616720,Live2DViewerEX (Live2D Wallpaper),Pavo Studio,Pavo Studio
514550,Beat The Dictators,Peaksel,Peaksel
594360,Sort 'Em,PeanutButter VR,PeanutButter VR
555430,On The Path,Pentagrammical Justice,Pentagrammical Justice 
557410,Dream Quest,Peter Whalen,Peter Whalen
606950,Army General,Phobetor,"Phobetor, Plug In Digital"
503150,Frantic Freighter,Phr00t's Software,Phr00t's Software
506160,VR Fractals,Phylliida,Phylliida
415600,Kart Racing Pro,PiBoSo,PiBoSo
583570,1-2-Swift,MNGOVR,PITAYA NETWORK LIMITED
600190,Ski Jump VR,Pixel Perfect Dude,Pixel Perfect Dude
464240,Detective Hunt - Crownston City PD,pixepob,pixepob
458490,Who Must Die,White Chamber,"Playdius, Plug In Digital"
520670,Strikers Edge,Fun Punch Games,"Playdius, Plug In Digital"
573070,BAFL - Brakes Are For Losers,Oudidon,"Playdius, Plug In Digital"
573110,AWAY,Aurelien Regard Games,"Playdius, Plug In Digital"
573120,Dead In Vinland,CCCP,"Playdius, Plug In Digital"
602420,sU and the Quest For Meaning,Guillaume Bouckaert,"Playdius, Plug In Digital"
671430,Jengo,Robot Wizard,"Playdius, Plug In Digital"
644610,Drums Hero PC,"Player Of Music Technology Co.,Ltd","Player Of Music Technology Co.,Ltd"
639460,Zombie Riot,PlaySide VR,PlaySide VR
303850,DanceWall Remix,Extreme Reality,Plug In Digital
341040,Wars Across The World,Strategiae,Plug In Digital
341050,Splitmind,Rendal Studio,Plug In Digital
444330,Battleships at Dawn!,Mintaka Softworks,Plug In Digital
458500,Babylon 2055 Pinball,Shine Research,Plug In Digital
462250,Boiling Bolt,Persistant Studios,Plug In Digital
483490,Circuitous ,The Owl Prophecy,Plug In Digital
497630,H.U.N.T,Kylotonn,Plug In Digital
540590,Red Barton and The Sky Pirates,Schism Worldwide,Plug In Digital
564920,Smoots Tennis Survival Zombie,Kaneda Games,Plug In Digital
572330,The Fan,Ezhaac Studio,Plug In Digital
577320,Quantic Pinball,Shine Research,Plug In Digital
610460,Rise of Balloons,Mirum Studio,Plug In Digital
640090,Zarya-1: Mystery on the Moon,Your Story Interactive,Plug In Digital
642610,Shape of the World,Hollow Tree Games,Plug In Digital
663120,The Rosebud Condominium,Blue Salt Games,Plug In Digital
556990,Rage Against The Zombies,3DDUO,"Plug In Digital, Fun4Family"
324270,Revenge: Rhobar's myth,Polygon Art,Polygon Art
508410,SKIPCHASER,Ponywolf,"Ponywolf, LLC"
624690,NEXT JUMP: Shmup Tactics,Post Mortem Pixels,Post Mortem Pixels
492400,Thunder Gun: Revenge of the Mutants,"Potato Interactive, LLC","Potato Interactive, LLC"
425460,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,"Arc System Works, TOYBOX Inc.",PQube Limited
610090,Gnomelings: Migration,"Prismic Studios, Dano Kablamo",Prismic Studios
656480,Hidden Animals: English - Spanish,Progorion,Progorion
600980,Master Shot VR,"Puresurface, Inc.","Puresurface, Inc."
689990,Achievement Hunter: Darkness,putilin_industries,putilin_industries
695020,Achievement Hunter: Urban,putilin_industries,putilin_industries
588540,Super Lovely Planet,QUICKTEQUILA,QUICKTEQUILA
470170,Evangeline,Raconteur Games,Raconteur Games
420160,Alphabeats: Master Edition,Rad Dragon,Rad Dragon
630050,Dead Exit,RadiationBurn,RadiationBurn
471220,Don't Drop the Bass,RadishBox,RadishBox
413350,Daydream Blue,RalphVR,RalphVR
516500,Zissi's Island,Ramon Mujica,Ramon Mujica
612250,Eastwood VR,RAV3 Interactive,RAV3 Interactive
376620,Arkin,Raven Sword Industries,Raven Sword Industries
534680,Dolphin Up,Rawkins Games,Rawkins Games
440450,Escape: Sierra Leone,Reborn Games Inc.,Reborn Games Inc.
548470,First Impact: Rise of a Hero,Red Meat Games,Red Meat Games
512090,Tank Defense Division,"Caleb Hooper, Christian Hooper",Red Tree Studios
553150,VR Dungeon,Relative Reality Studios,Relative Reality Studios
600550,Save Our Souls: Episode I - The Absurd Hopes Of Blessed Children,Relentless Game Studios,Relentless Game Studios
381800,DRIFT 84,Reventador Games,Reventador Games
357690,APT,RIP Studios LLC,RIP Studios LLC
550930,Rocket Craze 3D,Rixment,Rixment
549950,Vaccine,RNC,RNC
502920,Gunnihilation,Robo Pixel Games,Robo Pixel Games
495900,Lance A Lot,Rocket Hammer,Rocket Hammer
623160,Zombie Solitaire 2 Chapter 1,rokaplay,rokaplay
534910,3D Arcade Fishing,bumblebee,rokapublish GmbH
563270,In Vitra - JRPG Adventure,bumblebee,rokapublish GmbH
